No,Desa/Kelurahan,Kecamatan,kondisi_jalan,Skala
300,Nyor Manis,Blega,1,3.0
301,Blega,Blega,1,3.0
302,Karangnangka,Blega,1,3.0
303,Karang Panasan,Blega,1,3.0
304,Bates,Blega,1,3.0
305,Lomaer,Blega,1,3.0
306,Blegaoloh,Blega,1,3.0
307,Sabiyan,Bangkalan,1,3.0
308,Karpote,Blega,1,3.0
309,Lombang Daya,Blega,1,3.0
310,Lombang Laok,Blega,1,3.0
311,Kampao,Blega,1,3.0
312,Rosep,Blega,1,3.0
313,Panjalinan,Blega,1,3.0
314,Pangeran Gedungan,Blega,1,3.0
315,Ko'Olan,Blega,1,3.0
316,Gigir,Blega,1,3.0
317,Gebang,Bangkalan,1,3.0
318,Ra'As,Klampis,1,3.0
319,Pendabah,Kamal,1,3.0
320,Polongan,Klampis,1,3.0
321,Kolla,Modung,1,3.0
322,Pangpajung,Modung,1,3.0
323,Petapan,Labang,1,3.0
324,Sendang Daya,Labang,1,3.0
325,Sendang Laok,Labang,1,3.0
326,Jukong,Labang,1,3.0
327,Labang,Labang,1,3.0
328,Morkepek,Labang,1,3.0
329,Ba'Engas,Labang,1,3.0
330,Bringin,Labang,1,3.0
331,Bunajih,Labang,1,3.0
332,Sukolilo Timur,Labang,1,3.0
333,Sukolilo Barat,Labang,1,3.0
334,Pangpong,Labang,1,3.0
335,Kesek,Labang,1,3.0
336,Gunung Sereng,Kwanyar,1,3.0
337,Paoran,Kwanyar,1,3.0
338,Sumur Kuning,Kwanyar,1,3.0
339,Morombuh,Kwanyar,1,3.0
340,Ketetang,Kwanyar,1,3.0
341,Dlemer,Kwanyar,1,3.0
342,Janteh,Kwanyar,1,3.0
343,Karang Entang,Kwanyar,1,3.0
344,Pandanan,Kwanyar,1,3.0
345,Patereman,Modung,1,3.0
346,Paeng,Modung,1,3.0
347,Karang Asem,Klampis,1,3.0
348,Neroh,Modung,1,3.0
349,Pernajuh,Socah,1,3.0
350,Dakiring,Socah,1,3.0
351,Petaonan,Socah,1,3.0
352,Keleyan,Socah,1,3.0
353,Bilaporah,Socah,1,3.0
354,Parseh,Socah,1,3.0
355,Sanggra Agung,Socah,1,3.0
356,Jaddih,Socah,1,3.0
357,Buluh,Socah,1,3.0
358,Socah,Socah,1,3.0
359,Junganyar,Socah,1,3.0
360,Alaskokon,Modung,1,3.0
361,Pakong,Modung,1,3.0
362,Glisgis,Modung,1,3.0
363,Manggaan,Modung,1,3.0
364,Karanganyar,Modung,1,3.0
365,Brakas Dajah,Modung,1,3.0
366,Modung,Modung,1,3.0
367,Suwaan,Modung,1,3.0
368,Langpanggang,Modung,1,3.0
369,Patengteng,Modung,1,3.0
370,Serabi Barat,Modung,1,3.0
371,Serabi Timur,Modung,1,3.0
372,Duwek Buter,Kwanyar,1,3.0
373,Batah Timur,Kwanyar,1,3.0
374,Batah Barat,Kwanyar,1,3.0
375,Tobaddung,Klampis,1,3.0
376,Karanganyar,Kwanyar,1,3.0
377,Tlokoh,Kokop,1,3.0
378,Kokop,Kokop,1,3.0
379,Ampara'an,Kokop,1,3.0
380,Lembung Gunung,Kokop,1,3.0
381,Klampis Timur,Klampis,1,3.0
382,Klampis Barat,Klampis,1,3.0
383,Bator,Klampis,1,3.0
384,Buluk Agung,Klampis,1,3.0
385,Mrandung,Klampis,1,3.0
386,Ko'ol,Klampis,1,3.0
387,Mandung,Kokop,1,3.0
388,Trogan,Klampis,1,3.0
389,Bulung,Klampis,1,3.0
390,Tenggun Daya,Klampis,1,3.0
391,Larangan Sorjan,Klampis,1,3.0
392,Manonggal,Klampis,1,3.0
393,Larangan Glintong,Klampis,1,3.0
394,Panyaksagan,Klampis,1,3.0
395,Lergunong,Klampis,1,3.0
396,Bragang,Klampis,1,3.0
397,Bantean,Klampis,1,3.0
398,Mano'An,Kokop,1,3.0
399,Durjan,Kokop,1,3.0
400,Bandang Laok,Kokop,1,3.0
401,Tramok,Kokop,1,3.0
402,Pasanggrahan,Kwanyar,1,3.0
403,Kwanyar Barat,Kwanyar,1,3.0
404,Tebul,Kwanyar,1,3.0
405,Genteng,Konang,1,3.0
406,Cangkarman,Konang,1,3.0
407,Sambiyan,Konang,1,3.0
408,Campor,Konang,1,3.0
409,Senasen,Konang,1,3.0
410,Konang,Konang,1,3.0
411,Bandung,Konang,1,3.0
412,Pakes,Konang,1,3.0
413,Durin Timur,Konang,1,3.0
414,Batokaban,Konang,1,3.0
415,Kanegarah,Konang,1,3.0
416,Durin Barat,Konang,1,3.0
417,Galis Daya,Konang,1,3.0
418,Batokorogan,Kokop,1,3.0
419,Dupok,Kokop,1,3.0
420,Banda Soleh,Kokop,1,3.0
421,Katol Timur,Kokop,1,3.0
422,Ragung,Pangarengan,1,3.0
423,Dabung,Geger,2,2.0
424,Karang Duwak,Arosbaya,2,2.0
425,Balung,Arosbaya,2,2.0
426,Lerpak,Geger,2,2.0
427,Terosan,Banyuates,4,0.0
428,Masaran,Banyuates,4,0.0
429,Marparan,Sreseh,0,
430,Olor,Banyuates,0,
431,Tolang,Banyuates,0,
432,Lar-lar,Banyuates,0,
433,Tapaan,Banyuates,0,
434,Dharma Camplong,Camplong,0,
435,Sejati,Camplong,0,
436,Rabasan,Camplong,0,
437,Banjar Tabulu,Camplong,0,
438,Plampaan,Camplong,0,
439,Asem Raja,Jrengik,0,
440,Plakaran,Jrengik,0,
441,Buler,Jrengik,0,
442,Bancelok,Jrengik,0,
443,Mlaka,Jrengik,0,
444,Jungkarang,Jrengik,0,
445,Tlambah,Karang penang,0,
446,Karang penang onjur,Karang penang,0,
447,Bulmatet,Karang penang,0,
448,Poreh,Karang penang,0,
449,Karang penang oloh,Karang penang,0,
450,Batu poro timur,Kedungdung,0,
451,Paopale laok,Ketapang,0,
452,Karang Anyar,Ketapang,0,
