No,Desa/Kelurahan,Kecamatan,jarak_kecamatan,Skala
400,Jrengik,Jrengik,1,0
401,Soket Laok,Tragah,1,0
402,Tambelangan,Tambelangan,1,0
403,Kalangan Prao,Jrengik,1,0
404,Klampis Timur,Klampis,1,0
405,Gili Timur,Kamal,1,0
406,Tanjung Bumi,Tanjung Bumi,1,0
407,Ketapang Barat,Ketapang,1,0
408,Dulang,Torjun,1,0
409,Bunajih,Labang,1,0
410,Sukolilo Timur,Labang,1,0
411,Rapalaok,Omben,1,0
412,Arosbaya,Arosbaya,1,0
413,Galis,Galis,1,0
414,Klampis Barat,Klampis,1,0
415,Larangan Glintong,Klampis,1,0
416,Torjunan,Torjun,1,0
417,Apaaan,Pangarengan,1,0
418,Petrah,Tanah Merah,1,0
419,Tanah Merah Daya,Tanah Merah,1,0
420,Bator,Klampis,1,0
421,Banyuates,Banyuates,1,0
422,Jatra Timur,Banyuates,1,0
423,Dlemer,Kwanyar,1,0
424,Ketapang Daya,Ketapang,1,0
425,Tonjung,Burneh,1,0
426,Burneh,Burneh,1,0
427,Ketetang,Kwanyar,1,0
428,Komis,Kedungdung,1,0
429,Gunung Sekar,Sampang,1,0
430,Karang Dalem,Sampang,1,0
431,Campor,Geger,1,0
432,Muktesareh,Kedungdung,1,0
433,Patereman,Modung,1,0
434,Blega,Blega,1,0
435,Tanggumong,Sampang,1,0
436,Labuhan,Sreseh,1,0
437,Pasanggrahan,Kwanyar,1,0
438,Jelgung,Robatal,1,0
439,Kwanyar Barat,Kwanyar,1,0
440,Konang,Konang,1,0
441,Bandung,Konang,1,0
442,Socah,Socah,1,0
443,Tambaan,Camplong,1,0
444,Gili Barat,Kamal,1,0
445,Dukotambin,Tragah,1,0
446,Karang Leman,Tragah,1,0
447,Sukolilo Barat,Labang,1,0
448,Samaran,Tambelangan,1,0
449,Keraton,Bangkalan,1,0
450,Demangan,Bangkalan,1,0
451,Pangeranan,Bangkalan,1,0
452,Dalpenang,Sampang,1,0
