No,Desa/Kelurahan,Kecamatan,wisatawanmanca,Skala
359,Sendang Daya,Labang,0,0
360,Sendang Laok,Labang,0,0
361,Jukong,Labang,0,0
362,Labang,Labang,0,0
363,Morkepek,Labang,0,0
364,Ba'Engas,Labang,0,0
365,Bringin,Labang,0,0
366,Bunajih,Labang,0,0
367,Sukolilo Timur,Labang,0,0
368,Glisgis,Modung,0,0
369,Alaskokon,Modung,0,0
370,Pangpong,Labang,0,0
371,Tanah Merah Laok,Tanah Merah,0,0
372,Pettong,Tanah Merah,0,0
373,Jangkar,Tanah Merah,0,0
374,Kendaban,Tanah Merah,0,0
375,Tlomar,Tanah Merah,0,0
376,Patemon,Tanah Merah,0,0
377,Dumajah,Tanah Merah,0,0
378,Tanah Merah Daya,Tanah Merah,0,0
379,Petrah,Tanah Merah,0,0
380,Padurungan,Tanah Merah,0,0
381,Pangeleyan,Tanah Merah,0,0
382,Kranggan Barat,Tanah Merah,0,0
383,Baipajung,Tanah Merah,0,0
384,Junganyar,Socah,0,0
385,Pacentan,Tanah Merah,0,0
386,Pernajuh,Socah,0,0
387,Dakiring,Socah,0,0
388,Petaonan,Socah,0,0
389,Keleyan,Socah,0,0
390,Bilaporah,Socah,0,0
391,Parseh,Socah,0,0
392,Sanggra Agung,Socah,0,0
393,Jaddih,Socah,0,0
394,Buluh,Socah,0,0
395,Socah,Socah,0,0
396,Sukolilo Barat,Labang,0,0
397,Kesek,Labang,0,0
398,Manonggal,Klampis,0,0
399,Ampara'an,Kokop,0,0
400,Batokorogan,Kokop,0,0
401,Dupok,Kokop,0,0
402,Banda Soleh,Kokop,0,0
403,Katol Timur,Kokop,0,0
404,Tramok,Kokop,0,0
405,Bandang Laok,Kokop,0,0
406,Mandung,Kokop,0,0
407,Mano'An,Kokop,0,0
408,Durjan,Kokop,0,0
409,Tlokoh,Kokop,0,0
410,Kokop,Kokop,0,0
411,Lembung Gunung,Kokop,0,0
412,Durin Barat,Konang,0,0
413,Klampis Timur,Klampis,0,0
414,Klampis Barat,Klampis,0,0
415,Bator,Klampis,0,0
416,Buluk Agung,Klampis,0,0
417,Mrandung,Klampis,0,0
418,Tobaddung,Klampis,0,0
419,Ko'ol,Klampis,0,0
420,Trogan,Klampis,0,0
421,Bulung,Klampis,0,0
422,Tenggun Daya,Klampis,0,0
423,Larangan Sorjan,Klampis,0,0
424,Galis Daya,Konang,0,0
425,Kanegarah,Konang,0,0
426,Gunung Sereng,Kwanyar,0,0
427,Karanganyar,Kwanyar,0,0
428,Paoran,Kwanyar,0,0
429,Sumur Kuning,Kwanyar,0,0
430,Morombuh,Kwanyar,0,0
431,Ketetang,Kwanyar,0,0
432,Dlemer,Kwanyar,0,0
433,Janteh,Kwanyar,0,0
434,Karang Entang,Kwanyar,0,0
435,Pandanan,Kwanyar,0,0
436,Duwek Buter,Kwanyar,0,0
437,Batah Timur,Kwanyar,0,0
438,Batah Barat,Kwanyar,0,0
439,Pasanggrahan,Kwanyar,0,0
440,Batokaban,Konang,0,0
441,Kwanyar Barat,Kwanyar,0,0
442,Tebul,Kwanyar,0,0
443,Genteng,Konang,0,0
444,Cangkarman,Konang,0,0
445,Sambiyan,Konang,0,0
446,Campor,Konang,0,0
447,Senasen,Konang,0,0
448,Konang,Konang,0,0
449,Bandung,Konang,0,0
450,Pakes,Konang,0,0
451,Durin Timur,Konang,0,0
452,Ragung,Pangarengan,0,0
