No,Desa/Kelurahan,Kecamatan,hargatiket,Skala
394,Batokorogan,Kokop,0,3
395,Dupok,Kokop,0,3
396,Banda Soleh,Kokop,0,3
397,Mano'An,Kokop,0,3
398,Katol Timur,Kokop,0,3
399,Klampis Timur,Klampis,0,3
400,Tebul,Kwanyar,0,3
401,Klampis Barat,Klampis,0,3
402,Batah Barat,Kwanyar,0,3
403,Karanganyar,Kwanyar,0,3
404,Pasanggrahan,Kwanyar,0,3
405,Buluk Agung,Klampis,0,3
406,Mrandung,Klampis,0,3
407,Tobaddung,Klampis,0,3
408,Lembung Gunung,Kokop,0,3
409,Cangkarman,Konang,0,3
410,Sambiyan,Konang,0,3
411,Ampara'an,Kokop,0,3
412,Campor,Konang,0,3
413,Kokop,Kokop,0,3
414,Bator,Klampis,2000,3
415,Rabiyan,Ketapang,5000,2
416,Durjan,Kokop,7000,2
417,Ketapang Daya,Ketapang,8000,2
418,Pangeranan,Bangkalan,10000,2
419,Gili Timur,Kamal,7000,2
420,Ujung Piring,Bangkalan,10000,2
421,Macajah,Tanjung Bumi,10000,2
422,Pocong,Tragah,8000,2
423,Daleman,Galis,5000,2
424,Genteng,Konang,10000,2
425,Geger,Geger,10000,2
426,Montor,Banyuates,5000,2
427,Batioh,Banyuates,5000,2
428,Bira Tengah,Sokobanah,15000,1
429,Kamal,Kamal,15000,1
430,Dharma Camplong,Camplong,15000,1
431,Keraton,Bangkalan,15000,1
432,Patemon,Tanah Merah,12000,1
433,Sejati,Camplong,35000,0
434,P.Mandangin,Sampang,25000,0
435,Gunung Sekar,Sampang,25000,0
436,Karang Dalem,Sampang,25000,0
437,Dalpenang,Sampang,35000,0
438,Kwanyar Barat,Kwanyar,20000,0
439,Tanah Merah Laok,Tanah Merah,20000,0
440,Ketapang Laok,Ketapang,28000,0
441,Buduran,Arosbaya,30000,0
442,Parseh,Socah,20000,0
443,Jaddih,Socah,25000,0
444,Tambaan,Camplong,18000,0
445,Burneh,Burneh,25000,0
446,Morkepek,Labang,30000,0
447,Taddan,Camplong,30000,0
448,Kemayoran,Bangkalan,30000,0
449,Pejagan,Bangkalan,18000,0
450,Banyuanyar,Sampang,40000,0
451,Bancaran,Bangkalan,30000,0
452,Rong Tengah,Sampang,20000,0
