No,Desa/Kelurahan,Kecamatan,tempatmakan,Skala
239,Kompol,Geger,0,0
240,Campor,Geger,0,0
241,Tegerpriyah,Geger,0,0
242,Batobella,Geger,0,0
243,Geger,Geger,0,0
244,Lerpak,Geger,0,0
245,Togubang,Geger,0,0
246,Sorpa,Galis,0,0
247,Sadah,Galis,0,0
248,Banjar,Galis,0,0
249,Paka'An Laok,Galis,0,0
250,Lantek Barat,Galis,1,0
251,Lantek Temor,Galis,0,0
252,Telagah,Galis,0,0
253,Kelbung,Galis,0,0
254,Belateran,Galis,0,0
255,Tellok,Galis,0,0
256,Daleman,Galis,0,0
257,Banyubunih,Galis,1,0
258,Longkek,Galis,0,0
259,Pakaandaya,Galis,1,0
260,Separah,Galis,0,0
261,Dabung,Geger,0,0
262,Katol Barat,Geger,0,0
263,Banyoneng Laok,Geger,0,0
264,Banyoneng Dajah,Geger,0,0
265,Trogan,Klampis,0,0
266,Bulung,Klampis,0,0
267,Tenggun Daya,Klampis,0,0
268,Larangan Sorjan,Klampis,0,0
269,Manonggal,Klampis,0,0
270,Larangan Glintong,Klampis,0,0
271,Panyaksagan,Klampis,0,0
272,Lergunong,Klampis,0,0
273,Bragang,Klampis,0,0
274,Bantean,Klampis,0,0
275,Karang Asem,Klampis,0,0
276,Polongan,Klampis,0,0
277,Muarah,Klampis,0,0
278,Ra'As,Klampis,0,0
279,Tolbuk,Klampis,0,0
280,Pendabah,Kamal,0,0
281,Tellang,Kamal,1,0
282,Gili Anyar,Kamal,0,0
283,Gili Timur,Kamal,0,0
284,Kebun,Kamal,0,0
285,Tanjung Jati,Kamal,1,0
286,Gili Barat,Kamal,0,0
287,Tajungan,Kamal,0,0
288,Kranggan Timur,Galis,0,0
289,Galis,Galis,0,0
290,Poter,Tanah Merah,0,0
291,Makam Agung,Arosbaya,0,0
292,Gebang,Bangkalan,0,0
293,Sabiyan,Bangkalan,0,0
294,Pejagan,Bangkalan,1,0
295,Pangeranan,Bangkalan,0,0
296,Mertajasah,Bangkalan,1,0
297,Kramat,Bangkalan,0,0
298,Sembilangan,Bangkalan,0,0
299,Ujung Piring,Bangkalan,0,0
300,Tambegan,Arosbaya,0,0
301,Buduran,Arosbaya,1,0
302,Plakaran,Arosbaya,0,0
303,Karang Pao,Arosbaya,0,0
304,Paterongan,Galis,0,0
305,Cendagah,Arosbaya,0,0
306,Berbeluk,Arosbaya,0,0
307,Mangkon,Arosbaya,0,0
308,Dlemer,Arosbaya,0,0
309,Karang Duwak,Arosbaya,0,0
310,Arosbaya,Arosbaya,1,0
311,Tengket,Arosbaya,1,0
312,Lajing,Arosbaya,0,0
313,Balung,Arosbaya,0,0
314,Ombul,Arosbaya,0,0
315,Glagga,Arosbaya,0,0
316,Gigir,Blega,0,0
317,Ko'Olan,Blega,0,0
318,Pangeran Gedungan,Blega,0,0
319,Panjalinan,Blega,0,0
320,Kajuanak,Galis,0,0
321,Pekadan,Galis,0,0
322,Binoh,Burneh,0,0
323,Alas Kembang,Burneh,0,0
324,Perreng,Burneh,0,0
325,Pangolangan,Burneh,0,0
326,Sobih,Burneh,0,0
327,Arok,Burneh,0,0
328,Kapor,Burneh,0,0
329,Benangkah,Burneh,1,0
330,Langkap,Burneh,0,0
331,Jambu,Burneh,0,0
332,Kajan,Blega,0,0
333,Alasraja,Blega,0,0
334,Nyor Manis,Blega,0,0
335,Karangnangka,Blega,0,0
336,Bates,Blega,0,0
337,Lomaer,Blega,0,0
338,Blegaoloh,Blega,0,0
339,Karpote,Blega,1,0
340,Lombang Daya,Blega,0,0
341,Lombang Laok,Blega,1,0
342,Kampao,Blega,0,0
343,Ko'ol,Klampis,0,0
344,Tobaddung,Klampis,0,0
345,Mrandung,Klampis,0,0
346,Modung,Modung,0,0
347,Sanggra Agung,Socah,0,0
348,Jaddih,Socah,0,0
349,Buluh,Socah,0,0
350,Socah,Socah,1,0
351,Junganyar,Socah,0,0
352,Alaskokon,Modung,0,0
353,Pakong,Modung,0,0
354,Glisgis,Modung,0,0
355,Manggaan,Modung,0,0
356,Karanganyar,Modung,0,0
357,Brakas Dajah,Modung,0,0
358,Suwaan,Modung,0,0
359,Buluk Agung,Klampis,0,0
360,Langpanggang,Modung,0,0
361,Patengteng,Modung,0,0
362,Serabi Barat,Modung,0,0
363,Serabi Timur,Modung,0,0
364,Neroh,Modung,0,0
365,Paeng,Modung,0,0
366,Kolla,Modung,0,0
367,Patereman,Modung,1,0
368,Pangpajung,Modung,0,0
369,Petapan,Labang,0,0
370,Sendang Daya,Labang,0,0
371,Parseh,Socah,0,0
372,Bilaporah,Socah,0,0
373,Keleyan,Socah,0,0
374,Petaonan,Socah,0,0
375,Buddan,Tanah Merah,0,0
376,Mrecah,Tanah Merah,0,0
377,Dlamba Laok,Tanah Merah,0,0
378,Dlambah Dajah,Tanah Merah,0,0
379,Batangan,Tanah Merah,0,0
380,Batonaong,Arosbaya,0,0
381,Landak,Tanah Merah,0,0
382,Pettong,Tanah Merah,0,0
383,Jangkar,Tanah Merah,0,0
384,Kendaban,Tanah Merah,0,0
385,Tlomar,Tanah Merah,0,0
386,Patemon,Tanah Merah,0,0
387,Dumajah,Tanah Merah,0,0
388,Tanah Merah Daya,Tanah Merah,0,0
389,Petrah,Tanah Merah,0,0
390,Padurungan,Tanah Merah,0,0
391,Pangeleyan,Tanah Merah,0,0
392,Kranggan Barat,Tanah Merah,0,0
393,Tanah Merah Laok,Tanah Merah,0,0
394,Baipajung,Tanah Merah,0,0
395,Pacentan,Tanah Merah,0,0
396,Pernajuh,Socah,0,0
397,Dakiring,Socah,0,0
398,Sendang Laok,Labang,0,0
399,Jukong,Labang,0,0
400,Morkepek,Labang,1,0
401,Campor,Konang,0,0
402,Konang,Konang,0,0
403,Bandung,Konang,0,0
404,Pakes,Konang,0,0
405,Durin Timur,Konang,0,0
406,Batokaban,Konang,0,0
407,Kanegarah,Konang,0,0
408,Durin Barat,Konang,0,0
409,Galis Daya,Konang,0,0
410,Batokorogan,Kokop,0,0
411,Dupok,Kokop,0,0
412,Banda Soleh,Kokop,0,0
413,Katol Timur,Kokop,0,0
414,Tramok,Kokop,0,0
415,Bandang Laok,Kokop,0,0
416,Mandung,Kokop,0,0
417,Mano'An,Kokop,0,0
418,Durjan,Kokop,0,0
419,Tlokoh,Kokop,0,0
420,Kokop,Kokop,0,0
421,Ampara'an,Kokop,0,0
422,Lembung Gunung,Kokop,0,0
423,Klampis Timur,Klampis,0,0
424,Klampis Barat,Klampis,1,0
425,Senasen,Konang,0,0
426,Sambiyan,Konang,0,0
427,Ba'Engas,Labang,0,0
428,Cangkarman,Konang,0,0
429,Bringin,Labang,0,0
430,Bunajih,Labang,0,0
431,Sukolilo Timur,Labang,0,0
432,Sukolilo Barat,Labang,0,0
433,Pangpong,Labang,0,0
434,Kesek,Labang,0,0
435,Gunung Sereng,Kwanyar,0,0
436,Paoran,Kwanyar,0,0
437,Sumur Kuning,Kwanyar,0,0
438,Morombuh,Kwanyar,0,0
439,Ketetang,Kwanyar,0,0
440,Dlemer,Kwanyar,0,0
441,Janteh,Kwanyar,0,0
442,Karang Entang,Kwanyar,0,0
443,Pandanan,Kwanyar,0,0
444,Duwek Buter,Kwanyar,0,0
445,Batah Timur,Kwanyar,0,0
446,Batah Barat,Kwanyar,0,0
447,Karanganyar,Kwanyar,0,0
448,Pasanggrahan,Kwanyar,0,0
449,Kwanyar Barat,Kwanyar,0,0
450,Tebul,Kwanyar,0,0
451,Genteng,Konang,0,0
452,Ragung,Pangarengan,0,0
