No,Desa/Kelurahan,Kecamatan,wisata_nusantara,Skala
323,Jambu,Burneh,0,0
324,Pekadan,Galis,0,0
325,Binoh,Burneh,0,0
326,Alas Kembang,Burneh,0,0
327,Perreng,Burneh,0,0
328,Pangolangan,Burneh,0,0
329,Sobih,Burneh,0,0
330,Arok,Burneh,0,0
331,Kapor,Burneh,0,0
332,Benangkah,Burneh,0,0
333,Langkap,Burneh,0,0
334,Tonjung,Burneh,0,0
335,Karpote,Blega,0,0
336,Kajan,Blega,0,0
337,Alasraja,Blega,0,0
338,Nyor Manis,Blega,0,0
339,Blega,Blega,0,0
340,Karangnangka,Blega,0,0
341,Karang Panasan,Blega,0,0
342,Bates,Blega,0,0
343,Lomaer,Blega,0,0
344,Karang Gayam,Blega,0,0
345,Blegaoloh,Blega,0,0
346,Ko'ol,Klampis,0,0
347,Mrandung,Klampis,0,0
348,Tambak Pocok,Tanjung Bumi,0,0
349,Petapan,Labang,0,0
350,Dakiring,Socah,0,0
351,Petaonan,Socah,0,0
352,Keleyan,Socah,0,0
353,Bilaporah,Socah,0,0
354,Sanggra Agung,Socah,0,0
355,Buluh,Socah,0,0
356,Socah,Socah,0,0
357,Junganyar,Socah,0,0
358,Alaskokon,Modung,0,0
359,Pakong,Modung,0,0
360,Glisgis,Modung,0,0
361,Karanganyar,Modung,0,0
362,Brakas Dajah,Modung,0,0
363,Modung,Modung,0,0
364,Suwaan,Modung,0,0
365,Langpanggang,Modung,0,0
366,Patengteng,Modung,0,0
367,Serabi Barat,Modung,0,0
368,Serabi Timur,Modung,0,0
369,Neroh,Modung,0,0
370,Paeng,Modung,0,0
371,Kolla,Modung,0,0
372,Patereman,Modung,0,0
373,Pacentan,Tanah Merah,0,0
374,Baipajung,Tanah Merah,0,0
375,Kranggan Barat,Tanah Merah,0,0
376,Dlambah Dajah,Tanah Merah,0,0
377,Larangan Timur,Tanjung Bumi,0,0
378,Bungkeng,Tanjung Bumi,0,0
379,Bandang Daya,Tanjung Bumi,0,0
380,Tagungguh,Tanjung Bumi,0,0
381,Planggiran,Tanjung Bumi,0,0
382,Basanah,Tanah Merah,0,0
