No,Desa/Kelurahan,Kecamatan,Akomodasi (Jumlah),Skala
324,Alasraja,Blega,0,0
325,Nyor Manis,Blega,0,0
326,Blega,Blega,0,0
327,Karang Panasan,Blega,0,0
328,Ko'Olan,Blega,0,0
329,Bates,Blega,0,0
330,Lomaer,Blega,0,0
331,Karang Gayam,Blega,1,0
332,Blegaoloh,Blega,0,0
333,Karpote,Blega,0,0
334,Lombang Daya,Blega,0,0
335,Lombang Laok,Blega,0,0
336,Kampao,Blega,0,0
337,Rosep,Blega,0,0
338,Panjalinan,Blega,0,0
339,Pangeran Gedungan,Blega,0,0
340,Panyaksagan,Klampis,0,0
341,Larangan Glintong,Klampis,0,0
342,Manonggal,Klampis,0,0
343,Paeng,Modung,0,0
344,Glisgis,Modung,0,0
345,Manggaan,Modung,0,0
346,Karanganyar,Modung,0,0
347,Brakas Dajah,Modung,0,0
348,Modung,Modung,0,0
349,Suwaan,Modung,0,0
350,Langpanggang,Modung,0,0
351,Patengteng,Modung,0,0
352,Serabi Barat,Modung,0,0
353,Serabi Timur,Modung,0,0
354,Neroh,Modung,0,0
355,Kolla,Modung,0,0
356,Alaskokon,Modung,0,0
357,Patereman,Modung,0,0
358,Pangpajung,Modung,0,0
359,Petapan,Labang,0,0
360,Sendang Daya,Labang,0,0
361,Sendang Laok,Labang,0,0
362,Jukong,Labang,0,0
363,Labang,Labang,0,0
364,Morkepek,Labang,0,0
365,Ba'Engas,Labang,0,0
366,Bringin,Labang,0,0
367,Bunajih,Labang,0,0
368,Pakong,Modung,0,0
369,Junganyar,Socah,0,0
370,Sukolilo Barat,Labang,0,0
371,Kranggan Barat,Tanah Merah,0,0
372,Landak,Tanah Merah,0,0
373,Pettong,Tanah Merah,0,0
374,Jangkar,Tanah Merah,0,0
375,Kendaban,Tanah Merah,0,0
376,Tlomar,Tanah Merah,0,0
377,Patemon,Tanah Merah,0,0
378,Dumajah,Tanah Merah,0,0
379,Tanah Merah Daya,Tanah Merah,0,0
380,Petrah,Tanah Merah,0,0
381,Padurungan,Tanah Merah,0,0
382,Pangeleyan,Tanah Merah,0,0
383,Tanah Merah Laok,Tanah Merah,0,0
384,Socah,Socah,0,0
385,Baipajung,Tanah Merah,0,0
386,Pacentan,Tanah Merah,0,0
387,Pernajuh,Socah,0,0
388,Dakiring,Socah,0,0
389,Petaonan,Socah,0,0
390,Keleyan,Socah,0,0
391,Bilaporah,Socah,0,0
392,Parseh,Socah,0,0
393,Sanggra Agung,Socah,0,0
394,Jaddih,Socah,0,0
395,Buluh,Socah,0,0
396,Sukolilo Timur,Labang,0,0
397,Pangpong,Labang,0,0
398,Larangan Sorjan,Klampis,0,0
399,Kokop,Kokop,0,0
400,Galis Daya,Konang,0,0
