No,Desa/Kelurahan,Kecamatan,medsos,Skala
206,Gunung Kesan,Karang penang,0,0
207,Tlambah,Karang penang,0,0
208,Bluuran,Karang penang,0,0
209,Panyepen,Jrengik,0,0
210,Taman,Jrengik,0,0
211,Jrengik,Jrengik,0,0
212,Kotah,Jrengik,0,0
213,Mlaka,Jrengik,0,0
214,Anggersek,Camplong,0,0
215,Bancelok,Jrengik,0,0
216,Buler,Jrengik,0,0
217,Plakaran,Jrengik,0,0
218,Asem Raja,Jrengik,0,0
219,Kalangan Prao,Jrengik,0,0
220,Majangan,Jrengik,0,0
221,Asem Nonggal,Jrengik,0,0
222,Margantoko,Jrengik,0,0
223,Plampaan,Camplong,0,0
224,Pamolaan,Camplong,0,0
225,Madupat,Camplong,0,0
226,Batangan,Tanah Merah,0,0
227,Rongdurin,Tanah Merah,0,0
228,Landak,Tanah Merah,0,0
229,Bragang,Klampis,0,0
230,Sorpa,Galis,0,0
231,Sadah,Galis,0,0
232,Bangpendah,Galis,0,0
233,Banjar,Galis,0,0
234,Lantek Barat,Galis,0,0
235,Lantek Temor,Galis,0,0
236,Telagah,Galis,0,0
237,Kelbung,Galis,0,0
238,Belateran,Galis,0,0
239,Tellok,Galis,0,0
240,Daleman,Galis,1,0
241,Banyubunih,Galis,1,0
242,Longkek,Galis,0,0
243,Pakaandaya,Galis,0,0
244,Separah,Galis,0,0
245,Kranggan Timur,Galis,0,0
246,Paka'An Laok,Galis,0,0
247,Galis,Galis,0,0
248,Paterongan,Galis,0,0
249,Kajuanak,Galis,0,0
250,Pekadan,Galis,0,0
251,Binoh,Burneh,0,0
252,Alas Kembang,Burneh,0,0
253,Perreng,Burneh,0,0
254,Pangolangan,Burneh,0,0
255,Togubang,Geger,0,0
256,Lerpak,Geger,0,0
257,Geger,Geger,1,0
258,Kamal,Kamal,1,0
259,Karang Asem,Klampis,0,0
260,Polongan,Klampis,0,0
261,Muarah,Klampis,0,0
262,Ra'As,Klampis,0,0
263,Tolbuk,Klampis,0,0
264,Pendabah,Kamal,0,0
265,Tellang,Kamal,0,0
266,Gili Anyar,Kamal,0,0
267,Gili Timur,Kamal,1,0
268,Kebun,Kamal,0,0
269,Tanjung Jati,Kamal,0,0
270,Banyu Ajuh,Kamal,0,0
271,Batobella,Geger,0,0
272,Gili Barat,Kamal,0,0
273,Tajungan,Kamal,0,0
274,Banyoneng Dajah,Geger,0,0
275,Banyoneng Laok,Geger,0,0
276,Katol Barat,Geger,0,0
277,Dabung,Geger,0,0
278,Kombangan,Geger,0,0
279,Kampak,Geger,0,0
280,Kompol,Geger,0,0
281,Campor,Geger,0,0
282,Tegerpriyah,Geger,0,0
283,Sobih,Burneh,0,0
284,Arok,Burneh,0,0
285,Kapor,Burneh,0,0
286,Makam Agung,Arosbaya,0,0
287,Demangan,Bangkalan,1,0
288,Pangeranan,Bangkalan,1,0
289,Kemayoran,Bangkalan,1,0
290,Mlajah,Bangkalan,1,0
291,Mertajasah,Bangkalan,1,0
292,Kramat,Bangkalan,0,0
293,Sembilangan,Bangkalan,1,0
294,Ujung Piring,Bangkalan,1,0
295,Tambegan,Arosbaya,0,0
296,Buduran,Arosbaya,1,0
297,Plakaran,Arosbaya,0,0
298,Karang Pao,Arosbaya,0,0
299,Pejagan,Bangkalan,1,0
300,Cendagah,Arosbaya,0,0
301,Berbeluk,Arosbaya,0,0
302,Mangkon,Arosbaya,0,0
303,Dlemer,Arosbaya,0,0
304,Karang Duwak,Arosbaya,0,0
305,Arosbaya,Arosbaya,0,0
306,Tengket,Arosbaya,0,0
307,Lajing,Arosbaya,0,0
308,Balung,Arosbaya,0,0
309,Ombul,Arosbaya,0,0
310,Glagga,Arosbaya,0,0
311,Keraton,Bangkalan,1,0
312,Bancaran,Bangkalan,1,0
313,Benangkah,Burneh,0,0
314,Lomaer,Blega,0,0
315,Langkap,Burneh,0,0
316,Jambu,Burneh,0,0
317,Tonjung,Burneh,0,0
318,Burneh,Burneh,1,0
319,Kajan,Blega,0,0
320,Alasraja,Blega,0,0
321,Nyor Manis,Blega,0,0
322,Blega,Blega,0,0
323,Karangnangka,Blega,0,0
324,Karang Panasan,Blega,0,0
325,Bates,Blega,0,0
326,Karang Gayam,Blega,0,0
327,Sabiyan,Bangkalan,0,0
328,Blegaoloh,Blega,0,0
329,Karpote,Blega,0,0
330,Lombang Daya,Blega,0,0
331,Lombang Laok,Blega,0,0
332,Kampao,Blega,0,0
333,Rosep,Blega,0,0
334,Panjalinan,Blega,0,0
335,Pangeran Gedungan,Blega,0,0
336,Ko'Olan,Blega,0,0
337,Gigir,Blega,0,0
338,Gebang,Bangkalan,0,0
339,Bantean,Klampis,0,0
340,Lergunong,Klampis,0,0
341,Pettong,Tanah Merah,0,0
342,Panyaksagan,Klampis,0,0
343,Karanganyar,Modung,0,0
344,Brakas Dajah,Modung,0,0
345,Modung,Modung,0,0
346,Suwaan,Modung,0,0
347,Langpanggang,Modung,0,0
348,Patengteng,Modung,0,0
349,Serabi Barat,Modung,0,0
350,Serabi Timur,Modung,0,0
351,Neroh,Modung,0,0
352,Paeng,Modung,0,0
353,Kolla,Modung,0,0
354,Patereman,Modung,0,0
355,Pangpajung,Modung,0,0
356,Petapan,Labang,0,0
357,Sendang Daya,Labang,0,0
358,Sendang Laok,Labang,0,0
359,Jukong,Labang,0,0
360,Labang,Labang,0,0
361,Morkepek,Labang,1,0
362,Ba'Engas,Labang,0,0
363,Bringin,Labang,0,0
364,Bunajih,Labang,0,0
365,Sukolilo Timur,Labang,0,0
366,Sukolilo Barat,Labang,0,0
367,Pangpong,Labang,0,0
368,Manggaan,Modung,1,0
369,Glisgis,Modung,0,0
370,Pakong,Modung,0,0
371,Baipajung,Tanah Merah,0,0
372,Jangkar,Tanah Merah,0,0
373,Kendaban,Tanah Merah,0,0
374,Tlomar,Tanah Merah,0,0
375,Patemon,Tanah Merah,1,0
376,Dumajah,Tanah Merah,0,0
377,Tanah Merah Daya,Tanah Merah,0,0
