No,Desa/Kelurahan,Kecamatan,Luas Area,Skala
265,Kolla,Modung,5,2
266,Sadah,Galis,4,2
267,Batonaong,Arosbaya,5,2
268,Banyu Sokah,Ketapang,4,2
269,Lantek Temor,Galis,5,2
270,Gunung Eleh,Kedungdung,4,2
271,Lembung Gunung,Kokop,4,2
272,Ampara'an,Kokop,5,2
273,Batangan,Tanah Merah,5,2
274,Janteh,Kwanyar,4,2
275,Pettong,Tanah Merah,4,2
276,Jangkar,Tanah Merah,4,2
277,Bunajih,Labang,4,2
278,Tambak Pocok,Tanjung Bumi,5,2
279,Kodak,Torjun,2,1
280,Dlemer,Kwanyar,2,1
281,Duwek Buter,Kwanyar,3,1
282,Ketetang,Kwanyar,3,1
283,Kara,Torjun,3,1
284,Pandanan,Kwanyar,2,1
285,Buduran,Arosbaya,3,1
286,Kambang Jeruk,Banyuates,3,1
287,Muarah,Klampis,3,1
288,Bringin Nonggal,Torjun,2,1
289,Krampon,Torjun,2,1
290,Ujung Piring,Bangkalan,3,1
291,Torjunan,Torjun,3,1
292,Tana Mera,Torjun,3,1
293,Tebul,Kwanyar,2,1
294,Kwanyar Barat,Kwanyar,2,1
295,Pasanggrahan,Kwanyar,3,1
296,Karang Entang,Kwanyar,2,1
297,Batah Timur,Kwanyar,3,1
298,Paseseh,Tanjung Bumi,2,1
299,Nepa,Banyuates,2,1
300,Margantoko,Jrengik,3,1
301,Ombul,Arosbaya,3,1
302,Balung,Arosbaya,3,1
303,Rabiyan,Ketapang,3,1
304,Taman,Jrengik,3,1
305,Kotah,Jrengik,3,1
306,Tengket,Arosbaya,3,1
307,Mlaka,Jrengik,2,1
308,Pacanggaan,Pangarengan,3,1
309,Mrandung,Klampis,2,1
310,Karang Nangger,Omben,2,1
311,Kalangan Prao,Jrengik,3,1
312,Majangan,Jrengik,3,1
313,Astapah,Omben,2,1
314,Batioh,Banyuates,3,1
315,Manonggal,Klampis,3,1
316,Berbeluk,Arosbaya,2,1
317,Anggersek,Camplong,2,1
318,Kramat,Kedungdung,2,1
319,Batokorogan,Kokop,3,1
320,Batu Karang,Camplong,2,1
321,Galis Daya,Konang,3,1
322,Morombuh,Kwanyar,2,1
323,Trapang,Banyuates,2,1
324,Jatra Timur,Banyuates,2,1
325,Plakaran,Arosbaya,3,1
326,Masaran,Banyuates,3,1
327,Tambaan,Camplong,3,1
328,Junok,Sreseh,3,1
329,Paoran,Kwanyar,3,1
330,Tlomar,Tanah Merah,2,1
331,Paseyan,Sampang,2,1
332,Glisgis,Modung,3,1
333,Karang Dalem,Sampang,2,1
334,Alaskokon,Modung,3,1
335,Banyuanyar,Sampang,2,1
336,Kapor,Burneh,3,1
337,Dakiring,Socah,3,1
338,Jrangoan,Omben,3,1
339,Tegerpriyah,Geger,3,1
340,Omben,Omben,3,1
341,Tanah Merah Daya,Tanah Merah,3,1
342,Dumajah,Tanah Merah,3,1
343,Pamorah,Tragah,3,1
344,Dukotambin,Tragah,2,1
345,Brakas Dajah,Modung,3,1
346,Kendaban,Tanah Merah,2,1
347,Bator,Klampis,2,1
348,Landak,Tanah Merah,2,1
349,Kranggan Timur,Galis,2,1
350,Separah,Galis,3,1
351,Tambin,Tragah,2,1
352,Dlambah Dajah,Tanah Merah,3,1
353,Bangpendah,Galis,2,1
354,Mrecah,Tanah Merah,2,1
355,Alang Alang,Tragah,2,1
356,Buddan,Tanah Merah,2,1
357,Belateran,Galis,2,1
358,Tanjung Bumi,Tanjung Bumi,3,1
359,Sabiyan,Bangkalan,2,1
360,Baruh,Sampang,3,1
361,Tanggumong,Sampang,3,1
362,Kamoning,Sampang,2,1
363,Gunung Sereng,Kwanyar,3,1
364,Gebang,Bangkalan,3,1
365,Pangpong,Labang,2,1
366,Sukolilo Timur,Labang,2,1
367,Ko'Olan,Blega,3,1
368,Pangeran Gedungan,Blega,3,1
369,Panjalinan,Blega,3,1
370,Bangsah,Sreseh,2,1
371,Bundah,Sreseh,2,1
372,Labang,Sreseh,3,1
373,Klobur,Sreseh,2,1
374,Rosep,Blega,3,1
375,Bringin,Labang,2,1
376,Lombang Laok,Blega,2,1
377,Ba'Engas,Labang,3,1
378,Morkepek,Labang,2,1
379,Gili Anyar,Kamal,2,1
380,Jukong,Labang,3,1
381,Sendang Laok,Labang,2,1
382,Kebun,Kamal,3,1
383,Karang Panasan,Blega,2,1
384,Patereman,Modung,2,1
385,Paeng,Modung,2,1
386,Kamondung,Omben,3,1
387,Langpanggang,Modung,2,1
388,Jambu,Burneh,2,1
389,Modung,Modung,3,1
390,Galis,Galis,3,1
391,Napolaok,Omben,1,0
392,Napo Daya,Omben,1,0
393,Pandan Lanjang,Arosbaya,1,0
394,Plakaran,Jrengik,1,0
395,Pakaandaya,Galis,1,0
396,Klampis Barat,Klampis,0,0
397,Tobaddung,Klampis,1,0
398,Ko'ol,Klampis,1,0
399,Trogan,Klampis,1,0
400,Larangan Sorjan,Klampis,1,0
401,Polongan,Klampis,1,0
402,Ra'As,Klampis,0,0
403,Tolbuk,Klampis,1,0
404,Tanjung Jati,Kamal,0,0
405,Kamal,Kamal,1,0
406,Tajungan,Kamal,0,0
407,Sorpa,Galis,1,0
408,Perreng,Burneh,0,0
409,Campor,Konang,1,0
410,Sobih,Burneh,0,0
411,Arok,Burneh,1,0
412,Blegaoloh,Blega,1,0
413,Pejagan,Bangkalan,1,0
414,Demangan,Bangkalan,0,0
415,Pangeranan,Bangkalan,1,0
416,Kemayoran,Bangkalan,1,0
417,Mertajasah,Bangkalan,0,0
418,Cendagah,Arosbaya,1,0
419,Mangkon,Arosbaya,0,0
420,Dlemer,Arosbaya,1,0
421,Arosbaya,Arosbaya,1,0
422,Klampis Timur,Klampis,0,0
423,Karanganyar,Kwanyar,1,0
424,Dharma Tanjung,Camplong,1,0
425,Basanah,Tanah Merah,0,0
426,Prajjan,Camplong,0,0
427,Kanjar,Torjun,1,0
428,Tamberu Timur,Sokobanah,0,0
429,Rong Tengah,Sampang,1,0
430,P.Mandangin,Sampang,1,0
431,Tragih,Robatal,0,0
432,Jaddung,Tragah,1,0
433,Pocong,Tragah,1,0
434,Bancang,Tragah,0,0
435,Ja'ah,Tragah,1,0
436,Keteleng,Tragah,1,0
437,Telaga Biru,Tanjung Bumi,0,0
438,Poter,Tanah Merah,1,0
439,Batah Barat,Kwanyar,1,0
440,Dlamba Laok,Tanah Merah,1,0
441,Patemon,Tanah Merah,0,0
442,Padurungan,Tanah Merah,1,0
443,Pangeleyan,Tanah Merah,0,0
444,Pernajuh,Socah,0,0
445,Socah,Socah,1,0
446,Junganyar,Socah,0,0
447,Pakong,Modung,1,0
448,Petapan,Labang,1,0
449,Labang,Labang,1,0
450,Sukolilo Barat,Labang,1,0
451,Kesek,Labang,1,0
452,Rongdurin,Tanah Merah,1,0
